steps,reward,lenght
0,0,0
499,-210.351041177097,499
777,-35.0956405847792,278
1277,-82.36862410791589,500
1290,9.650991521670823,13
1532,-37.85773926272503,242
1643,-3.083956116737534,111
1644,10.0,1
1671,8.906040933211733,27
2171,-85.92857029216405,500
2211,4.758225757879492,40
2711,-80.10362265197809,500
2722,8.21777078295489,11
3222,-119.87603456541488,500
3722,-169.17601968667674,500
4222,-209.5313904053059,500
4722,-209.8939288268447,500
5222,-208.35890502658566,500
5722,-201.1872138496223,500
6222,-207.3533625406636,500
6722,-208.8342306973334,500
7222,-207.4162875368991,500
7722,-210.07182422479806,500
8222,-207.57456971507375,500
8722,-211.1164943805342,500
9222,-212.81507359811258,500
9722,-208.51438482591698,500
10222,-208.049088185986,500
10722,-206.92685359469544,500
10723,10.0,1
11223,-208.3329005546422,500
11723,-211.95101082465422,500
12223,-207.7800009892482,500
12723,-209.00483620250444,500
12724,10.0,1
13224,-205.63966609448715,500
13724,-209.59932699528503,500
13725,10.0,1
13726,10.0,1
14226,-206.30664755986555,500
14726,-209.00970252326843,500
14979,-91.41877536021626,253
15479,-206.38057461158002,500
15979,-210.0210480252765,500
16479,-210.24264332639643,500
16488,9.832348831273036,9
16988,-207.71510791425428,500
17488,-208.0357282330626,500
17988,-208.72830920130156,500
18488,-176.68969917884215,500
18988,-210.54939621879367,500
19488,-208.57344450156813,500
19489,10.0,1
19989,-205.9426793846153,500
20489,-210.1727407103555,500
20989,-210.36370282763585,500
21489,-207.06304437613312,500
21989,-211.3878960507853,500
22489,-204.05350708838267,500
22989,-207.54772340208024,500
23489,-213.50943019373764,500
23989,-213.8228982005761,500
24489,-201.85109343383743,500
24523,0.7053427266570615,34
25023,-205.40303421680386,500
25523,-213.2819098412202,500
25524,10.0,1
26024,-213.1887333877334,500
26025,10.0,1
26525,-211.61514271257238,500
27025,-211.66026146109743,500
27525,-213.0604755696408,500
28025,-208.12235455459154,500
28525,-209.13585175485966,500
29025,-209.5306385545427,500
29027,9.970938217191378,2
29527,-202.1635568145419,500
30027,-211.48091965607725,500
30527,-213.95124649197626,500
31027,-207.61890239212443,500
31028,9.992283929706625,1
31528,-206.01562827354954,500
32028,-212.64778386096498,500
32528,-212.11451976247506,500
33028,-213.37477491122442,500
33029,10.0,1
33529,-201.31818740983775,500
34029,-212.72375316138633,500
34529,-206.6574607786595,500
35029,-208.71436452146668,500
35529,-208.1954177934984,500
36029,-211.5998877426827,500
36136,-29.875957834181165,107
36636,-211.61384093893966,500
37136,-204.33024680661245,500
37137,10.0,1
37637,-211.7832180509252,500
38137,-210.35217221346588,500
38637,-208.2951169458104,500
39137,-213.4053063364797,500
39637,-208.7563822972877,500
40137,-208.1607987118589,500
40637,-208.71023874300894,500
41137,-214.0286128335922,500
41637,-212.06917433813754,500
42137,-213.3457824564868,500
42637,-206.25187589845245,500
43137,-210.29425520824213,500
43637,-212.40944896718747,500
44137,-208.43897423676952,500
44637,-207.97195326552048,500
44638,9.99250471619643,1
45138,-198.3003827262833,500
45638,-208.4087005985576,500
46138,-204.43274801328084,500
46209,-18.483811773071455,71
46709,-210.75672675344336,500
47209,-209.85313367273653,500
47709,-208.42459373112024,500
47715,9.909516040026327,6
48215,-213.13302430062677,500
48715,-206.65404744697798,500
49215,-212.63449168724043,500
49715,-208.82356050426594,500
49716,10.0,1
50216,-210.23938202277583,500
50716,-205.6702217587864,500
51216,-211.84739928417707,500
51716,-207.38694641174376,500
52216,-213.17333421654726,500
52716,-210.5410071382633,500
53216,-209.82933219343383,500
53716,-209.70595640814605,500
54216,-208.5401012187947,500
54716,-209.92835858130846,500
55216,-211.98533706742836,500
55217,10.0,1
55717,-213.5856581176991,500
56122,-156.4027941834642,405
56622,-210.93627818436693,500
57122,-209.29837730078484,500
57622,-152.2914106367373,500
58122,-150.04899282225395,500
58622,-216.26040101873517,500
59122,-216.29641905102525,500
59622,-167.84676681584978,500
60122,-142.1959033688904,500
60622,-215.45373316433077,500
60623,9.988465368979107,1
61123,-147.18837947214715,500
61623,-211.78584235769782,500
62123,-207.90811318039079,500
62623,-212.35606455133887,500
63123,-205.91912530448036,500
63623,-211.25766013460554,500
64123,-212.33731231312586,500
64623,-210.11691144752044,500
65123,-212.36401897128025,500
65623,-211.78077796013662,500
66123,-212.15519204190034,500
66623,-202.39165601354694,500
67123,-213.4980425374311,500
67623,-208.5069960954732,500
68123,-207.7381094909419,500
68623,-210.93211269316552,500
69123,-207.84444653381863,500
69623,-209.40446590421445,500
70123,-209.40294284059976,500
70623,-208.6276915362552,500
71123,-206.87285666627253,500
71623,-211.5315947152269,500
72123,-206.13630153361848,500
72131,9.841671052601594,8
72132,10.0,1
72632,-207.2954298171831,500
72637,9.919304667434226,5
73137,-210.09716981732063,500
73637,-210.07531491632614,500
74137,-212.6269582730444,500
74637,-211.8190991664671,500
75137,-213.99368276476991,500
75637,-211.52553377734736,500
76137,-205.13704231152866,500
76637,-204.22126812909735,500
77137,-213.12974021477316,500
77637,-208.99009934305013,500
78137,-212.25643325906557,500
78637,-205.91933505456737,500
79137,-207.31903824556989,500
79637,-212.42130237050662,500
80137,-192.25385348750376,500
80637,-209.73955706501502,500
80638,10.0,1
81138,-209.96307407016096,500
81638,-196.54137238058834,500
82138,-207.67106964966402,500
82638,-202.83262887748037,500
83138,-199.2773549047604,500
83638,-210.42583767499698,500
84138,-197.9479134738243,500
84638,-212.27015929777392,500
85138,-210.28749455645357,500
85638,-190.1958364468555,500
86138,-212.68640646951175,500
86638,-185.81344658789675,500
87138,-210.73916959212988,500
87638,-204.5981803442577,500
88138,-194.6076880330005,500
88638,-210.39576874747195,500
88639,9.98989539333949,1
89139,-200.2539960717531,500
89639,-194.78832924373046,500
90139,-208.5963107887254,500
90639,-205.48472556395024,500
90640,10.0,1
91140,-208.01825718099522,500
91640,-210.49707980049874,500
92140,-213.14797333076098,500
92640,-205.27795227236794,500
92641,10.0,1
93141,-206.57892381258893,500
93641,-206.35972058736445,500
94141,-204.34024343493937,500
94641,-161.70466954489166,500
95141,-152.58803570368786,500
95641,-138.88631386803453,500
96141,-208.15467190060542,500
96641,-152.37047669199723,500
96890,-47.050014395873006,249
97390,-98.84955661617224,500
97890,-68.30064336358312,500
97891,9.989269949837663,1
98091,-7.013707786953848,200
98591,-28.188795438639772,500
98672,8.172900278705013,81
99172,-44.26309319838379,500
99672,-30.575614992006958,500
100172,-34.355184480579545,500
100203,9.40424998513943,31
100703,-31.212359062452883,500
101203,-51.04280587331221,500
101703,-59.8546419524541,500
102203,-44.02694747789725,500
102703,-34.93981835860453,500
103203,-38.4491215027383,500
103703,-38.62037193423884,500
104203,-56.26259901933205,500
104206,9.563482332048016,3
104706,-44.48744870474767,500
105206,-163.13643252408596,500
105706,-31.381057458144905,500
106206,-31.691737262659508,500
106305,3.4230943159313147,99
106805,-18.60051759073353,500
106806,10.0,1
107306,-60.46751680656485,500
107806,-71.37067228912781,500
108306,-27.60058495879642,500
108806,-37.9553339938624,500
108807,9.98732665504304,1
109307,-33.709855005618635,500
109807,-13.469421563320036,500
109850,9.281077827637528,43
110350,-13.035186975291642,500
110850,-17.31886593827857,500
111350,-19.184258830435766,500
111850,-15.576705748355726,500
112350,-30.871708066398945,500
112850,-40.27861296014639,500
113350,-22.893728685687126,500
113850,-63.112670995580515,500
113851,9.992927916943021,1
114351,-76.67139192727991,500
114352,10.0,1
114852,-63.68803543713707,500
115352,-46.4894594495863,500
115852,-48.28506794012461,500
116352,-37.789273182571534,500
116852,-34.87906874778224,500
117352,-31.0833777928707,500
117852,-38.38682568397875,500
117946,-14.693314724834659,94
118446,-15.518292028953578,500
118447,10.0,1
118448,10.0,1
118948,-32.6657197692234,500
119448,-43.07787805993775,500
119904,-25.62534984619035,456
120404,-42.28206525659907,500
120904,-44.864249352574255,500
121404,-22.979300025198867,500
121904,-27.286524969002155,500
122404,-26.300608040748063,500
122904,-64.42491124087117,500
123404,-38.6211890824685,500
123428,9.638440520803952,24
123516,8.563704543396975,88
124016,-26.445190403789237,500
124516,-27.48911633689835,500
125016,-21.655907302043108,500
125516,-46.69555640389484,500
126016,-47.311012109976325,500
126017,10.0,1
126517,-36.14066907385888,500
126898,-20.264152017500567,381
127398,-35.585375539998324,500
127898,-44.24358081597884,500
128398,-24.37454573283752,500
128898,-17.068864697187227,500
129398,-29.986357482087925,500
129898,-27.33386973205001,500
130398,-32.409642548708376,500
130898,-49.471776002194126,500
130899,10.0,1
131399,-40.921393629836864,500
131835,-18.127758430658126,436
132335,-32.33987488851591,500
132835,-35.13325662943053,500
133335,-45.298329189110426,500
133835,-26.112436465276616,500
133836,9.996644539894634,1
134336,-31.91165103683377,500
134586,-12.508174761655937,250
135086,-37.98789228307265,500
135087,10.0,1
135587,-14.534906914782173,500
135588,10.0,1
136088,-26.482393105937867,500
136588,-42.27973166130447,500
137088,-33.41761482012224,500
137588,-33.279867776283794,500
138088,-44.14963945639611,500
138104,9.733135058446301,16
138604,-15.896105875151498,500
139104,-24.418465665602604,500
139604,-31.075707560753905,500
140104,-28.86991438874144,500
140604,-79.38080685223086,500
141104,-30.086747763336337,500
141604,-18.835332409503152,500
141605,10.0,1
141606,10.0,1
142106,-14.805479229418594,500
142606,-35.620950598111136,500
142702,4.176525383012477,96
143202,-13.876233765134062,500
143232,9.5264523622456,30
143732,-42.262055485809036,500
144232,-32.77439916676294,500
144233,10.0,1
144733,-40.09527573179883,500
144734,10.0,1
145234,-34.6514835117029,500
145734,-43.037476883466134,500
146234,-29.80354514154116,500
146289,8.822179846570949,55
146789,-65.44196209350831,500
147289,-212.78194744679658,500
147789,-213.61701919599236,500
148289,-38.049304833507456,500
148789,-42.31174957777922,500
149289,-115.66121997703678,500
149789,-27.783036793959766,500
150289,-37.92297603220959,500
150789,-39.76440386918966,500
151289,-20.255353738412847,500
151290,10.0,1
151790,-34.6605948402736,500
152290,-13.168886192878409,500
152790,-14.708309438953535,500
153290,-34.70984887770177,500
153790,-14.432371215553225,500
154246,-16.546809411159842,456
154247,10.0,1
154747,-48.44833056778637,500
155247,-43.245373063573744,500
155747,-39.85628050273193,500
155748,10.0,1
156248,-19.09918361381501,500
156748,-26.28174480413145,500
157248,-35.22070217789865,500
157748,-28.51861780066556,500
158248,-17.18187203967807,500
158748,-30.210052725948838,500
159248,-16.488755342326264,500
159748,-20.74536340279634,500
159749,10.0,1
160249,-27.241051343504466,500
160749,-22.991135302909655,500
160750,10.0,1
161250,-18.05114053079076,500
161750,-31.613647075840323,500
161751,10.0,1
161752,10.0,1
162252,-27.527736749167257,500
162752,-24.279890774586057,500
163252,-34.377980694568,500
163752,-28.487654032995508,500
164252,-59.69856018742064,500
164752,-28.64476322830213,500
165224,-24.803803882095224,472
165290,8.676997179208087,66
165790,-19.42635895658676,500
166290,-17.758621117247344,500
166790,-41.47420009227335,500
167290,-34.41436279157115,500
167790,-26.655850284278173,500
168290,-20.571610368452028,500
168790,-37.939897749521386,500
169290,-19.00275221118571,500
169790,-30.573132311264036,500
170290,-25.342566504123443,500
170291,10.0,1
170292,10.0,1
170293,10.0,1
170793,-42.01605520062594,500
170794,10.0,1
171294,-22.60232402866951,500
171295,10.0,1
171795,-23.71268864289449,500
172295,-31.961607645127096,500
172795,-26.814975305990384,500
173295,-17.354089244602374,500
173795,-42.908050015987,500
174295,-35.48349440383534,500
174795,-36.462702296660495,500
175295,-59.16044656134343,500
175296,10.0,1
175796,-41.515625614646815,500
176296,-32.048877934495685,500
176796,-40.778334031123585,500
177296,-43.76293937582738,500
177626,-11.392353412557574,330
177654,9.477870222739528,28
178154,-14.302837907981319,500
178654,-44.49238574265783,500
179154,-28.170289329378452,500
179654,-37.443696151616514,500
180154,-16.89017132882786,500
180654,-17.6418014205926,500
181154,-18.759153653968884,500
181167,9.737498607787469,13
181168,10.0,1
181668,-29.798190862244752,500
182168,-39.47845201061701,500
182668,-40.05453596509931,500
183168,-14.260976840414559,500
183169,10.0,1
183669,-15.061426405697308,500
184169,-82.67259585531446,500
184226,3.687024931315002,57
184726,-37.29175492928857,500
185226,-35.151520237017834,500
185726,-20.046949648707493,500
186226,-13.01760506067395,500
186726,-31.485715490027637,500
187226,-20.003798831584632,500
187726,-20.021149696269784,500
188226,-29.67072120982497,500
188726,-43.904017408513,500
189226,-23.33538409029759,500
189726,-33.509482128043224,500
190226,-36.941816350624684,500
190726,-33.24788465183086,500
191226,-36.71831878723521,500
191726,-42.640010542277636,500
192226,-18.540278593127304,500
192264,7.370014829938808,38
192764,-30.805377551210444,500
193264,-25.53949854507934,500
193764,-128.53384082920502,500
194264,-28.70321551458981,500
194265,10.0,1
194765,-14.28433881935687,500
195265,-40.26117125224094,500
195765,-31.093624950482706,500
195766,10.0,1
196266,-22.689119612163136,500
196766,-22.368184700455576,500
197266,-15.855857918768224,500
197766,-43.77194549540131,500
197885,1.9825666952944214,119
198385,-16.558906526545716,500
198885,-38.50800829312192,500
199385,-37.61227765301946,500
199885,-24.54187555121243,500
200385,-27.55166974498997,500
200885,-29.212664883142807,500
200886,10.0,1
201260,-13.478097933904843,374
201760,-37.442647809552625,500
202260,-15.689841987566352,500
202261,10.0,1
202761,-30.38900070570442,500
203261,-36.49203071344488,500
203262,10.0,1
203263,9.989454203707316,1
203763,-16.633189008285925,500
204263,-22.498382612766818,500
204763,-33.0494456284886,500
204764,10.0,1
205264,-16.90676098692744,500
205764,-11.498252001563749,500
205765,10.0,1
206265,-13.565284178279983,500
206466,5.532894261599839,201
206966,-27.85093253605081,500
207466,-40.151496962480984,500
207966,-36.1365456456112,500
208466,-42.894496372321214,500
208966,-29.04167027822677,500
209466,-17.169306659053987,500
209966,-29.832600039147962,500
210466,-36.869076020473315,500
210966,-15.678649771870456,500
211466,-65.4959541515779,500
211966,-30.231578187854222,500
211967,10.0,1
212467,-20.790020838947203,500
212967,-33.82893415378485,500
213467,-42.84341650066516,500
213967,-19.702143913461335,500
214467,-28.069481508992588,500
214967,-213.36850641692627,500
215467,-14.640252095593846,500
215967,-55.85478338295037,500
216467,-33.94160946908055,500
216515,9.086099202646414,48
217015,-22.15973744909857,500
217300,0.08456642511565526,285
217800,-15.481772690770727,500
218300,-35.16258124974902,500
218800,-33.383705926596356,500
219300,-36.41137150159901,500
219800,-19.838763945017963,500
220300,-12.166897195181246,500
220800,-24.799262212935087,500
221300,-56.15189285118647,500
221301,10.0,1
221313,9.113864346032413,12
221813,-22.36719808768341,500
221860,6.708022546267577,47
222360,-33.0390987316789,500
222860,-28.969515591021555,500
223360,-44.43556348696049,500
223860,-20.098934637958344,500
224360,-26.093018704145145,500
224860,-27.03059318163133,500
224861,10.0,1
224862,10.0,1
224863,10.0,1
225363,-28.742891594586727,500
225863,-76.46740015286034,500
226363,-15.02704466198059,500
226863,-21.52473016923285,500
227363,-31.93366498496527,500
227863,-24.76786929875956,500
228363,-31.920433810447168,500
228863,-13.138981241791987,500
229263,-1.150098233746995,400
229270,9.888488694318768,7
229770,-16.295788298674072,500
230270,-24.36769675551318,500
230770,-25.19393495604043,500
230830,6.790052408996122,60
231330,-26.943814844801466,500
231830,-27.957605853797357,500
231912,5.850702046707205,82
231930,9.687089476157315,18
232430,-34.627098335747014,500
232930,-34.26249211034476,500
233430,-43.555333628813294,500
233431,10.0,1
233432,10.0,1
233932,-31.43504947173632,500
234432,-52.96388665040426,500
234932,-20.311974482562473,500
235432,-37.02473196795023,500
235932,-26.95032654176282,500
236432,-44.58128476099696,500
