steps,reward,lenght
0,0,0
499,-105.75921691397993,499
999,-212.14939000186078,500
1499,-91.92969229599066,500
1623,-4.8770744147867156,124
2123,-158.60470751318906,500
2623,-214.1280981275852,500
3123,-140.1639126216687,500
3623,-178.63491381710534,500
3905,-94.51828713336019,282
4405,-208.2400294875664,500
4905,-212.01418241725918,500
5405,-207.0029271360672,500
5905,-208.92970174024637,500
6405,-208.21992814479384,500
6905,-202.363533673253,500
7405,-208.03299899391033,500
7406,9.99635654947443,1
7906,-210.3421294536831,500
8406,-207.83829427908404,500
8906,-211.07826680041933,500
8907,10.0,1
9407,-209.90222738607693,500
9907,-212.32398005538803,500
10407,-211.0324943869664,500
10907,-210.49708763256996,500
10908,10.0,1
11408,-212.21405344492777,500
11908,-204.62259503959322,500
12408,-209.25457255960956,500
12411,9.962691104036143,3
12911,-208.70884311824986,500
13411,-213.21775597139197,500
13911,-207.83930963412595,500
14411,-203.0968131122347,500
14911,-201.79112355976667,500
15411,-205.93590846399215,500
15911,-212.47314536762764,500
16358,-175.9275700183655,447
16858,-209.52821715419697,500
17358,-209.1894533585656,500
17858,-209.50649575218176,500
18314,-176.65188837934156,456
18814,-210.36172094564404,500
19314,-207.91543983051682,500
19814,-203.80981649048186,500
20314,-205.06614799576582,500
20814,-208.77669683973997,500
21314,-211.27034457828668,500
21814,-205.5913648683212,500
22314,-211.5756763946557,500
22814,-209.96360258058868,500
23314,-210.40552915801356,500
23814,-211.6422411832895,500
24314,-205.17920250897762,500
24814,-209.666677778087,500
25314,-208.89586896626366,500
25814,-199.91378561129986,500
26314,-206.11055481939633,500
26814,-209.91385571947802,500
27314,-211.85449207866884,500
27814,-205.828275016864,500
27892,-19.000556895326703,78
27893,10.0,1
27894,10.0,1
28394,-213.4172437564672,500
28894,-210.4573043085461,500
29394,-201.840729154974,500
29894,-211.34616490614906,500
29895,10.0,1
30395,-210.84884747567438,500
30895,-210.67395806779177,500
31395,-208.51702675415598,500
31682,-108.24425882717928,287
32182,-203.82568769887325,500
32682,-207.73089102415662,500
33182,-211.90547620369514,500
33682,-211.32069364553547,500
34182,-209.1121200991121,500
34682,-208.88336806143482,500
35182,-212.0191228127961,500
35682,-212.6302858965541,500
36096,-159.45096412995343,414
36097,10.0,1
36597,-210.9323603378332,500
37097,-209.41477904179376,500
37098,10.0,1
37598,-205.84826656436104,500
38098,-206.30221925219405,500
38598,-209.02913468317567,500
39098,-212.8568604795911,500
39598,-207.75494911297443,500
40098,-205.13028958670242,500
40598,-211.83813842799617,500
41098,-211.79342682738985,500
41598,-206.6705628679652,500
42098,-208.82073803120124,500
42598,-211.83005763827475,500
43098,-208.44022624564434,500
43598,-201.26500680416777,500
44098,-208.1738890883155,500
44598,-209.22306297398796,500
45098,-207.57607072318905,500
45598,-211.24162129469522,500
46098,-208.4312938718607,500
46598,-204.04558458795816,500
47098,-211.54376582365273,500
47598,-198.24787643323347,500
48098,-212.71703220040584,500
48598,-211.1515379153632,500
49098,-213.07907232506705,500
49598,-211.0837456453709,500
50098,-212.60311031451252,500
50598,-213.63953271841376,500
50599,9.992813732033026,1
51099,-210.97838273568513,500
51599,-212.4515982393204,500
52099,-210.44120941149805,500
52599,-210.8601659463464,500
53099,-211.97294478758204,500
53599,-210.6821218363005,500
53600,10.0,1
54100,-209.28541847782623,500
54600,-212.21984934829553,500
55100,-212.93438771512098,500
55600,-210.68314996714264,500
56100,-211.81408392649922,500
56600,-211.67175688951747,500
57100,-201.58858976203624,500
57591,-194.72392555232275,491
58091,-210.20516532222686,500
58591,-209.7903336803239,500
59091,-211.31177337714163,500
59591,-211.8848444666037,500
60091,-206.698531022321,500
60092,10.0,1
60097,9.924541441699557,5
60597,-211.79735209564106,500
61097,-213.62339649738973,500
61597,-208.97694904617597,500
62097,-210.4554106358642,500
62597,-209.76095786993955,500
62757,-55.36704572790176,160
63257,-209.78888492918017,500
63757,-210.01649548589236,500
64257,-211.8730203447163,500
64757,-206.85386045437087,500
64758,9.991493420985428,1
65258,-210.73536964678115,500
65259,10.0,1
65759,-206.21937762581956,500
66259,-207.07928737688056,500
66759,-205.4263924790956,500
66760,10.0,1
66761,10.0,1
67261,-212.52803443299572,500
67761,-210.22543889012653,500
68261,-209.07804276993477,500
68761,-210.09445645002288,500
69261,-212.40229618048863,500
69761,-212.77066460341325,500
70261,-207.5593849809569,500
70761,-208.70304870954607,500
71261,-209.39660371289042,500
71262,10.0,1
