steps,reward,lenght
0,0,0
499,-86.75370200452055,499
510,9.778918654976325,11
1010,-193.6251292032878,500
1033,9.541129920619206,23
1034,10.0,1
1036,9.9706131176955,2
1037,10.0,1
1537,-166.7277787604714,500
2037,-197.70198320706388,500
2537,-98.2297213044392,500
2645,-9.216612216656102,108
2672,9.42797259618443,27
3172,-165.46957824656388,500
3672,-196.4350890950773,500
4172,-196.7493642771804,500
4672,-206.1128512420422,500
5172,-212.49751847997254,500
5672,-204.4987477388425,500
5673,10.0,1
6173,-206.94513221813486,500
6673,-202.65815370652754,500
7173,-206.80821332919533,500
7673,-213.43511748365526,500
8173,-203.955852379541,500
8673,-201.68002927408017,500
8675,9.979587169424956,2
9175,-210.91821670481602,500
9675,-205.04700971560905,500
10175,-201.50288007196144,500
10675,-211.36445659794182,500
11175,-210.00661560203318,500
11675,-200.71953617581167,500
12175,-206.64024532994893,500
12675,-201.9778691315012,500
13175,-207.57836055764903,500
13675,-213.56129405050703,500
14175,-211.73692955149644,500
14176,10.0,1
14676,-210.6918134754357,500
15176,-207.26096290441504,500
15676,-214.12706838019338,500
16176,-206.55706057208587,500
16676,-206.98824241529294,500
17176,-209.65445625372774,500
17676,-211.26579824315783,500
18176,-206.62782485724406,500
18676,-211.64375382178255,500
19176,-210.55591899456184,500
19676,-214.0752935795347,500
20176,-206.99558831719176,500
20177,10.0,1
20677,-206.06623438182717,500
21177,-212.6643949967062,500
21677,-207.60174972443866,500
22177,-209.26942815054426,500
22677,-206.16729077756432,500
23177,-209.73131655692853,500
23183,9.894249495323493,6
23683,-211.55274168513884,500
24183,-205.71911646562822,500
24683,-211.5603745271906,500
25183,-210.65592609901748,500
25683,-207.7762411643695,500
25684,10.0,1
26184,-207.99810888690095,500
26684,-211.73244621302757,500
27184,-208.87975373351213,500
27684,-211.82241008983635,500
28184,-205.49881078879486,500
28684,-208.14134242691512,500
29184,-209.24264884202054,500
29684,-209.93412045120476,500
30184,-211.15537190819435,500
30189,9.923620094829227,5
30689,-210.90114404314784,500
30691,9.967735656045493,2
31191,-208.8450475438251,500
31691,-209.24533040303905,500
32191,-205.59961423057356,500
32691,-207.89374376091757,500
33191,-213.8598461710072,500
33691,-210.28447976001578,500
34191,-206.48432191095998,500
34691,-205.91309589717028,500
35191,-210.13187503274509,500
35691,-207.4543161249374,500
36191,-209.33113324504936,500
36691,-212.89798420681984,500
37191,-209.26825935032585,500
37691,-209.62023871351576,500
38191,-211.91781124735311,500
38691,-210.14305241741698,500
39191,-209.90769208943925,500
39691,-212.33998065346393,500
40191,-209.46014090571495,500
40691,-208.57785015508577,500
41191,-209.40629452618774,500
41691,-206.32095510472348,500
42191,-212.62882903269383,500
42691,-212.14949209328267,500
43191,-211.68778367222592,500
43691,-212.10226143812608,500
44191,-211.34989669346425,500
44691,-210.74021938618694,500
45191,-210.26435648404944,500
45691,-208.57177025058218,500
46191,-201.88204863094202,500
46691,-212.0565909444384,500
47191,-207.88664529892858,500
47691,-209.40950746261294,500
48191,-207.10058960764871,500
48691,-211.97952274013863,500
49191,-206.41775843919754,500
49691,-210.88023920500314,500
50191,-208.8499910129775,500
50691,-203.44723385800734,500
50693,9.982984733385953,2
51193,-207.73244965115896,500
51693,-208.12236245302023,500
52193,-211.53745672624703,500
52693,-203.64021466307278,500
53193,-210.6523279237995,500
53195,9.983444208535014,2
53196,10.0,1
53197,10.0,1
53697,-207.17053071501903,500
54197,-209.76533762779198,500
54697,-210.97842318403704,500
55197,-208.77438770412454,500
55697,-208.65519466190435,500
55703,9.900721482579145,6
56203,-206.4920973195959,500
56703,-212.81573346079787,500
57203,-207.18378860888626,500
57703,-212.6152285849741,500
58203,-206.99180160968308,500
58703,-205.91245559878047,500
59203,-209.5523073757787,500
59703,-214.3695448231165,500
60203,-212.30671148103067,500
60703,-206.9908849341423,500
61203,-207.34327110583453,500
61703,-211.5782763957903,500
62203,-205.33744782932337,500
62703,-214.05721637097267,500
63203,-213.3249065167862,500
63204,10.0,1
63205,10.0,1
63705,-205.94631858542476,500
64205,-210.1796786620305,500
64705,-213.40153663559144,500
65205,-213.57142078701887,500
65207,9.986210939263712,2
65210,9.96495586813558,3
65216,9.899211887002089,6
65716,-206.08343618430237,500
66216,-210.92538322679823,500
66716,-212.16366362556886,500
67216,-206.02212041987036,500
67716,-210.74719869775734,500
67717,10.0,1
68217,-208.51965223481392,500
68218,9.996216003328147,1
68718,-211.44837765832722,500
68724,9.907303524191065,6
69224,-212.46733631857742,500
69724,-213.6978184153768,500
70224,-206.69234663512665,500
70724,-211.646305978091,500
71224,-211.4868976781292,500
71724,-203.40704614777675,500
72224,-205.75824928723338,500
72724,-211.1178848365792,500
73224,-207.19999071828863,500
