steps,reward,lenght
0,0,0
499,-94.4325811715858,499
999,-84.4136896714199,500
1499,-94.8860292584936,500
1999,-202.2570392159511,500
2499,-106.84074516418278,500
2504,9.933726026891192,5
3004,-134.73414229632857,500
3015,9.759265875456652,11
3515,-107.74651519734314,500
4015,-197.6068991404081,500
4515,-204.7064156917271,500
4523,9.85220796230493,8
5023,-183.40073803197745,500
5523,-165.45996685546623,500
6023,-199.93942925155184,500
6523,-210.58610948417052,500
7023,-207.40798149769876,500
7523,-209.8313064160042,500
8023,-209.61369120049838,500
8523,-208.25815127696518,500
9023,-206.7582599575284,500
9523,-204.56786820377587,500
10023,-211.5026162846264,500
10523,-210.13992798167428,500
11023,-212.21074445273402,500
11523,-211.13615747176817,500
12023,-211.47382760012928,500
12029,9.882990061437736,6
12529,-209.19298341645862,500
13029,-212.40159597176162,500
13529,-214.55072047838885,500
14029,-209.24685189233108,500
14529,-210.06082186274082,500
14728,-71.90700936204288,199
15228,-210.31038257274903,500
15728,-207.9084879939398,500
16228,-212.55953004040657,500
16728,-212.12153447466443,500
17228,-211.56243379525844,500
17728,-213.4882146456863,500
18228,-201.40263864519235,500
18728,-212.31861834418493,500
19228,-206.43387170552847,500
19728,-211.23995896022012,500
20228,-203.87975090058418,500
20728,-213.5811148741822,500
21228,-204.7104060186534,500
21728,-206.7392445295439,500
22228,-209.80915725088113,500
22728,-213.6297929071011,500
23228,-212.5034457104386,500
23728,-208.82517006436612,500
24228,-211.25179458832773,500
24728,-212.41080414019837,500
25228,-212.30463968201727,500
25728,-202.54582217123902,500
25729,10.0,1
26229,-211.52208658697376,500
26729,-207.73432401699182,500
26735,9.89251174284537,6
27235,-207.638802624677,500
27241,9.884951155796918,6
27741,-204.6390843596568,500
28241,-211.58625241404198,500
28741,-208.33653430863254,500
28742,10.0,1
29242,-212.47420553504247,500
29742,-205.51494576109803,500
29747,9.927214657846166,5
30247,-205.271416990489,500
30747,-208.2663915419973,500
31247,-211.03123238098635,500
31747,-213.3043320773275,500
32247,-209.1452372287543,500
32747,-209.8016011401944,500
32749,9.982493551592285,2
33249,-205.17750599146362,500
33749,-212.81948921014913,500
33750,10.0,1
34250,-204.82223514686115,500
34750,-205.21431519897246,500
35250,-211.29818601219762,500
35750,-212.57000009760083,500
36250,-212.95739251617948,500
36750,-204.2391755652457,500
37250,-203.4198607555119,500
37750,-212.5269329401726,500
38250,-210.4127187840827,500
38750,-211.19352696488045,500
38751,10.0,1
39251,-211.82594962509162,500
39751,-212.13122444900566,500
40251,-210.55275041831982,500
40751,-211.02747151761307,500
41251,-209.03051740347874,500
41751,-210.08658016364095,500
42251,-210.15996038643073,500
42751,-206.47101575687503,500
43251,-210.96762112639917,500
43751,-205.2495633064351,500
44251,-207.4189904983293,500
44751,-214.06033758288623,500
45251,-215.00201122143244,500
45751,-206.43367380727744,500
46251,-210.88668250993797,500
46751,-211.2162539636322,500
47251,-213.42234169574655,500
47751,-205.64030463400994,500
48251,-210.57744820484703,500
48751,-210.01882092708132,500
48758,9.851705013234916,7
49258,-206.65390893844946,500
49758,-210.44368434198273,500
50258,-211.47848667252106,500
50260,9.986119027874501,2
50760,-208.79236702658113,500
51260,-209.82740487262788,500
51760,-214.7597357333294,500
52260,-198.79962680785613,500
52760,-207.10157676667825,500
53260,-213.21381936396787,500
53760,-207.96277031788662,500
54260,-207.0290593096064,500
54760,-208.15747050217442,500
55260,-210.76971114875408,500
55760,-205.18669745397452,500
56260,-211.27455854779873,500
56760,-212.2575743338057,500
57120,-137.49568803502206,360
57133,9.707865675435517,13
57633,-211.59771315384074,500
58133,-207.22323710115563,500
58633,-207.1250189272089,500
59133,-213.5096437224007,500
59633,-210.06752711212962,500
60133,-211.68160353616938,500
60633,-210.59701686717855,500
61133,-213.26614220159573,500
61633,-212.30296479222469,500
62133,-209.55577577315455,500
62134,10.0,1
62634,-207.14721075101255,500
63134,-206.00363017692356,500
63634,-209.16543609720068,500
64134,-208.1107030418984,500
64634,-210.99865813283748,500
65134,-203.2102591139184,500
65634,-207.4647979686771,500
66134,-206.67591150612856,500
66634,-207.68001820603064,500
67134,-209.01344070559531,500
67634,-205.92713460263911,500
68134,-210.32532645368306,500
68145,9.744866417247698,11
68645,-204.3222192525823,500
69145,-201.52014001260034,500
69518,-141.6901719166253,373
70018,-199.18305979741862,500
70518,-213.56933818816898,500
70519,10.0,1
71019,-211.86053461403623,500
71519,-211.7251278876143,500
71522,9.96580178989296,3
72022,-209.9880571660489,500
72522,-204.7418585986374,500
