steps,reward,lenght
0,0,0
1,10.0,1
501,-210.72444791544797,500
502,10.0,1
1002,-166.65877902857656,500
1013,9.39938874465243,11
1513,-183.28235731979314,500
2013,-195.9726303604197,500
2153,-19.294413453337537,140
2653,-156.75688954113193,500
2750,-13.658298260347264,97
3125,-109.58018000131071,375
3625,-173.04487815870846,500
4125,-206.12768557574032,500
4130,9.892706407300626,5
4131,10.0,1
4631,-204.5686042854114,500
5131,-210.09659189358086,500
5132,10.0,1
5632,-207.67551157886854,500
6132,-209.8403141739026,500
6133,10.0,1
6137,9.94074595077022,4
6637,-208.37436753329476,500
7137,-211.41129858992431,500
7637,-209.07861920486417,500
8137,-205.1011930848159,500
8637,-207.06170528813968,500
8638,10.0,1
9138,-206.87751736534364,500
9638,-210.8635480562996,500
10138,-208.58357553155884,500
10638,-211.33158403476688,500
11138,-205.91289965436158,500
11638,-211.93250673435628,500
12138,-203.2545450781465,500
12638,-209.6991806929017,500
12639,9.99299720306707,1
13139,-197.85853385008434,500
13639,-207.6147792950442,500
14139,-208.78664850393997,500
14639,-207.24323173938447,500
15139,-207.74501508317533,500
15639,-210.2177692306595,500
16139,-207.3682894784551,500
16639,-205.03041634263136,500
17139,-209.33479057005653,500
17639,-208.62065121644957,500
18139,-204.5567760789156,500
18639,-214.38764952110392,500
19139,-207.69244778142826,500
19639,-207.92842791359377,500
20139,-210.3775032333343,500
20639,-209.47680855356964,500
20648,9.815942587462333,9
21148,-213.30424469102513,500
21648,-213.4347759644081,500
22148,-209.78025077101753,500
22648,-209.98579566448535,500
23148,-210.00782939388077,500
23149,10.0,1
23649,-209.97395250471033,500
24149,-209.85072256640794,500
24649,-211.5328372488983,500
25149,-206.66545288117157,500
25649,-209.65715237607012,500
26149,-211.50757018305265,500
26649,-209.0410300516141,500
26652,9.952350041950222,3
27152,-212.38476562862206,500
27652,-208.20750173239938,500
28152,-211.57438782932203,500
28652,-212.2587810772079,500
29152,-209.3719307464741,500
29652,-209.71100714017032,500
30152,-147.81118444517662,500
30652,-167.25698353288624,500
31152,-159.51413584806537,500
31652,-217.43092025793516,500
32152,-164.26375639022257,500
32153,10.0,1
32653,-150.86089129609866,500
33153,-153.0970079101963,500
33653,-147.76882870482177,500
34153,-151.9683298031963,500
34164,9.742777994178182,11
34177,9.743741900267738,13
34677,-166.4292968004422,500
35177,-148.11235164387216,500
35677,-162.650008673439,500
36177,-219.11554259151075,500
36677,-219.1636623476259,500
37177,-209.58892667543088,500
37677,-211.92252226890307,500
38177,-209.97427773360155,500
38677,-211.1505584635989,500
38678,10.0,1
39178,-214.0539339748699,500
39678,-201.71971238036502,500
40178,-213.31835841886252,500
40678,-206.22303813131862,500
41178,-213.65139459512952,500
41179,10.0,1
41679,-209.37668695693765,500
42179,-211.43711483433898,500
42679,-211.33720101902796,500
42847,-56.879085770125855,168
43347,-206.8764992731117,500
43350,9.955589082556571,3
43850,-208.5728989768482,500
44350,-206.81837906876572,500
44850,-206.7115991648322,500
45350,-211.23799735920008,500
45850,-210.7751096073602,500
46350,-211.92478418822512,500
46850,-212.8618143791977,500
47350,-208.97073159856185,500
47850,-208.2562895607947,500
